Id,Código,Nombre,Categoria,Marca,Costo Base,Existencia actual,PRECIO DE VENTA DETAL,PRECIO DE Venta Mayor,fecha
574,808114,PARRILLA MTB ALUMINIO P/CAÑA COLORES,Accesorios,Otras,10.7,0,18.00194604,13.00378385,7/20/2022
575,809014,LUZ TRASERA XC-181R ,Accesorios,GW,8.81,1,13.00356,10.50152,7/20/2022
576,809014-1,LUZ TRASERA XC-180,Accesorios,GW,10,2,13,11,7/20/2022
577,809018,LUZ DEL. SIGMA BUSTER 10,Accesorios,Otras,24.3,2,36.00859459,28.00263514,7/20/2022
578,809029,LUCES DEL/TRASER SNAKE X,Accesorios,GW,2,5,5,4,7/20/2022
579,809031,Kit Luces GW,Accesorios,GW,13.62,1,20.00778,15.663,7/20/2022
580,809032,LUZ TRASERA EBL - 022AT 40LM GW,Accesorios,GW,9.68,7,15.003032,12.50172,7/20/2022
581,809033,Luz trasera 15 Lumens GW,Accesorios,GW,4.18,0,7.0015,4.9951,7/20/2022
582,809040,Luz trasera de 50 lummens,Accesorios,GW,9.1,0,13.0039,11.0019,7/20/2022
583,809041,Luz  Delantera/trasera de 100 lumens GW,Accesorios,GW,9.1,0,15.00135,11.0019,7/20/2022
584,809043,LUZ TRASERA LED T01 GW,Accesorios,GW,7.86,0,13.00848649,9.504689189,7/20/2022
585,809045,LUZ DELANTERA BC 12 -500 LED GW,Accesorios,GW,16.11,9,20.00862,18.002925,7/20/2022
586,809048,LUZ DELANTERA BL29 LED GW,Accesorios,GW,25.81666831,0,38.00213575,29.99896857,7/20/2022
587,809052,LUZ DELANTERA EBL-3291 L 500LM GW,Accesorios,GW,12.95,2,20.00775,18.0005,7/20/2022
588,809053,LUZ DELANTERA EBL-3289 L 300LM GW,Accesorios,GW,12.45,0,18.00181622,14.99736486,7/20/2022
589,809056,LUZ TRASERA EBL-3287 LED 30LM GW,Accesorios,GW,10.47,3,15.00351,12.50118,7/20/2022
590,809058,LUZ DELANTERA BC11 GW 500 LM,Accesorios,GW,12.66,0,20.0028,16.00224,7/20/2022
591,809159,LUZ INTERMITENTE P/VALVULA FIREFLY,Accesorios,Otras,3.009972833,0,5.002574849,4.003263868,7/20/2022
592,809168,LUCES DELANTERA/TRASERA SNAKE X,Accesorios,GW,5.11,2,7.003216216,6.002027027,7/20/2022
593,809186,LUZ DELANTERA XC-122 CON USB,Accesorios,GW,7.73,2,12.00427027,9.298864865,7/20/2022
594,813517,GW GAFAS CARIBBEA FOTOCROMATICOS,Accesorios,GW,21.61,1,35.0082,27.995755,7/20/2022
595,814068,CASCOS SUPRA MTB SCOTT,Accesorios,SCOTT,45.20270295,0,65.00148684,58.00410842,7/20/2022
596,814217,CASCOS BMX PHOENIX+LAZER,Accesorios,Otras,102.27,0,150.009636,120.003618,7/20/2022
597,814455,CASCO GW001 MTB/ROAD MANTIS,Accesorios,GW,16.92,2,25.00776,19.99944,7/20/2022
598,814469,CASCOS GW-015 RUTA/MTB,Accesorios,GW,25.7,6,45.0007,32.9988,7/20/2022
599,814470,CASCO GW-025 RUTA/MTB,Accesorios,GW,31.7,2,45.00766,34.9968,7/20/2022
600,814474,CASCOS GW TARANTULA RUTA,Accesorios,GW,13.08,0,25.00448649,17.99956757,7/20/2022
601,814475,CASCOS GW-068 HORNET RUTA/MTB COLORES,Accesorios,GW,16.65,7,25.0083,18.99765,7/20/2022
602,814479,CASCO BMX GW JX 601-2 JUNIOR ABS,Accesorios,GW,35.18,2,55,45,7/20/2022
603,814481,CASCO RUTA GW R1 Y R2,Accesorios,GW,47.85,0,65,57,7/20/2022
604,814492,CASCO MTB M4 GW,Accesorios,GW,17.88000117,0,30,30,7/20/2022
605,814494,CASCO MTB SECURITY LIGHT OUT MOLD M6 GW,Accesorios,GW,22.88800035,0,40,40,7/20/2022
606,815645,CODERAS/RODILLERAS YD-6PC GW,Accesorios,GW,18.27027178,1,30,25,7/20/2022
607,815666,GUANTES CORTOS DSM SCOTT TEAM,Accesorios,SCOTT,19.52702816,2,25.00435956,23.00283918,7/20/2022
608,815720,GUANTES CORTOS GW ZX035,Accesorios,GW,11.5,4,18.009,14,7/20/2022
609,815760,GUANTES RUTA/MTB CORTOS,Accesorios,GW,7.4,0,15.00527838,9.001686486,7/20/2022
610,815906,ZAPATILLAS MTB GW ELITE M27029,Ropa,GW,69.56756641,0,95.00146868,85.00460939,7/20/2022
611,815935,ZAPATILLAS RUTA RD KNIT GW,Ropa,GW,68.21621527,1,95.00472301,85.00422585,7/20/2022
612,817109,RUEDA AUXILIAR 16P REFORZADA RUEDA/CAUC,Accesorios,Otras,5.88,2,9.00816,7.00896,7/20/2022
613,818193,PROTECTOR FACIAL REFLECTIVE GW ,Accesorios,GW,4.64,0,10.00384,5.99952,7/20/2022
614,818333,CAMISETA TEAM GW 3 COLORES - ROJA,Ropa,GW,14.66216343,0,24.99898865,25.00631973,7/20/2022
615,818517,CAMISA DE CICLISMO HOMBRE MANGA CORTA 75 TO 25,Ropa,GW,26.01388767,1,40.00935923,31.99708183,7/20/2022
616,818537,CAMISA DE CICLISMO MUJER MANGA CORTA STRIPES,Ropa,GW,25.23055694,0,40.00304804,32.00496148,7/20/2022
617,818628,PANTALON SQUAT FIRE GW,Ropa,GW,43.04054049,0,55.00581074,49.99158778,7/20/2022
618,818673,GUANTES LARGOS TORCH GW,Accesorios,GW,15.23,8,22.00735,18.00186,7/20/2022
619,819170,BOLSO PORTAHERRAMIENTAS tipo botella,Accesorios,GW,6.45,0,10.00414286,7.49988,7/20/2022
620,819172,BOLSO PORTAHERRAMIENTAS GW-CARRY BAG,Accesorios,GW,7.11333472,0,12,9,7/20/2022
621,819180,BOLSO PORTACELULAR  GW PARA MANUBRIO,Accesorios,GW,11.8,3,15.0096,13.5,7/20/2022
622,819181,BOLSO PORTAHERRAMIENTA GYPSY GW,Accesorios,GW,8.6,0,13.0032,10.5006,7/20/2022
623,819182,BOLSO PORTA HERRAMIENTAS TRIUMPH GW,Accesorios,GW,9.08,0,13.00410671,10.50045293,7/20/2022
624,819184,BOLSO PORTA CELULAR CROSSOVER Gw,Accesorios,GW,10.89,0,15.00902919,13.00492079,7/20/2022
625,819189,BOLSO PORTA HERRAMIENTA IMPER GW WATER,Accesorios,GW,12.01388967,0,17.00566082,14.50076483,7/20/2022
626,832055,PANTALONETA DAMA QUEST PEARL IZUMI,Ropa,Otras,32.81,1,45.00002703,38.00476216,7/20/2022
627,835006,COMBO PX ENDURANCE CARAMANOLA + 3PX,Accesorios,Otras,3.28,1,8.0032,5.002,7/20/2022
628,999308,TERMO 800ML,Accesorios,Otras,3.98,0,6.0098,5.00286,7/20/2022
629,1005100,CREMA ANTIROCE SQUIRT,Accesorios,Otras,14.55,0,20.00625,19.009575,7/20/2022
630,1007101,ANTIPINCHAZO SQUIRT 1000ML,Accesorios,Otras,36.15,1,50.00991,48.0072,7/20/2022
631,1008102,SQUIRT BIKE CLEANER 1000ML,Accesorios,Otras,20.09,0,28.00546,25.002005,7/20/2022
632,1579781,Cauchos Ruta 700*28C BONTRAGER,Repuestos,Otras,22.32,2,37,30,7/20/2022
633,2607587,PORTACARAMAÑOLA CLIFF SPORT YELLOW/RED,Accesorios,Cliff,6.716215027,0,9.009802459,9.009802459,7/20/2022
634,3000033,PASTILLAS FRENO ALUMINIO STL MDA08,Repuestos,STL,2.77,1,5.001885,3.497725,7/20/2022
635,3000042,Pastilla frenos hidraulicos STL RH-3,Repuestos,STL,5.64,0,8.004404762,6.49935119,7/20/2022
636,3000045,PASTILLAS FRENOS ALUMINIO FDAD9 STL HPD09,Repuestos,STL,3.41,3,7.3315,5.115,7/20/2022
637,3000047, PASTILLA P/FRENO DISCO HPD48 STL,Repuestos,STL,4.000000838,2,8.000001676,5.000001047,7/20/2022
638,3000054,PASTILLA P/FRENOS DISCO,Repuestos,Otras,3.71,5,7.00077,4.99737,7/20/2022
639,3000094,"LLANTA 29*2,25  60 TPI I",Repuestos,INNOVA,33.62,0,45.00254054,40.00300541,7/20/2022
640,3000094,LLANTA 29 X 2.25 60TPI IB301 INNOVA BUTTE N/SK TBL,Repuestos,INNOVA,34.51999965,0,50,50,7/20/2022
641,3000125,LLANTA 700X38C CAFE IA-2562 22TPI INNOVA,Repuestos,INNOVA,11.67199965,0,18,18,7/20/2022
642,3000132,LLANTA 29X2.10 NEGRA/SKIN IA-2549 33TPI,Repuestos,Otras,12.96799851,0,20,20,7/20/2022
643,4000021,SILLIN STL MTB GEL 6608,Accesorios,STL,10.31,0,18.00375429,12.00250286,7/20/2022
644,4020558,SUSPENSION REBA RL 29 BOOST 100 REMOTO,Repuestos,Rockshot,730,0,1100.037,940.021,7/20/2022
645,5000051,FORRO SILLIN STL MTB GEL NEGRO FAC-201HG,Accesorios,STL,10.56,0,15,13.00992,7/20/2022
646,6000139,MANUBRIO MTB STL X3 NEGRO 780MM,Repuestos,STL,11.86,0,20.00189,15.0029,7/20/2022
647,6000169,CAÑA STUNT STL OVERSIZE TDSAL6068 FOV EXT,Repuestos,Otras,12.62666525,1,20,15,7/20/2022
648,6000172,MANUBRIO MTB STL X3 780MM MTB-AL 300BT FOV,Repuestos,STL,10.91999899,0,20,14,7/20/2022
649,6000173,MANUBRIO MTB STL X3 ROJO 780MM,Repuestos,STL,11.37,0,20.005515,14.99703,7/20/2022
650,6000174,MANUBRIO MTB STL X3 DORADO 780MM,Repuestos,STL,11.37,0,20.005515,14.99703,7/20/2022
651,6000190,TENEDOR 29 TWISTER 290 NEGRO DISCO 425A,Repuestos,Otras,35.7,1,55,50,7/20/2022
652,6001125,Whey Isolate Vanilla Sobres,Nutricion,Otras,1.29,0,2.00595,2.00466,7/20/2022
653,6519657,CINTA DE MANUBRIO CLIFF SPORT,Accesorios,Cliff,6.216215027,0,10.00810619,8.00026874,7/20/2022
654,7000033,CASCO HB3-2 STL VISERA/LUZ NEGRO MATE,Accesorios,STL,26.22666752,0,45,45,7/20/2022
655,7291401,PROTECTOR DE BIELA MTB CAUCHO NEGRO,Accesorios,Otras,5.05,4,7.0094,5.9994,7/20/2022
656,12000009,PORTACARAMAÑOLA STL CL-095 NEGRO LATERAL,Accesorios,STL,7.918919081,0,10.00951372,10.00951372,7/20/2022
657,12000010,PORTACARAMAÑOLA STL CL-111 NEGRO,Accesorios,STL,8.905406568,0,12.00448805,10.50392705,7/20/2022
658,12150435,LLANTA CONTINENTAL RACE KING 29*2.2,Repuestos,CONTINENTAL,19.39999928,0,30,30,7/20/2022
659,12150466,LLANTA CONT ULTRASPORT 700X28C KEV,Repuestos,Otras,22.46,4,36.00338,28.00762,7/20/2022
660,15000055,SILLIN STL GOLDEN LINE M,Accesorios,STL,10.31,2,15.00105,12.5,7/20/2022
661,15000094,SILLIN STL GOLDEN LINE ,Accesorios,STL,10.31,0,15,12.5,7/20/2022
662,15000077,Sillin STL CRS,Accesorios,STL,13.01,0,20.00938,15.501415,7/20/2022
663,17000049,GUARDABARRO TRASERO S-MUD CORTO POLISPORT,Accesorios,Otras,9.25,1,15,11.5,7/20/2022
664,17000061,GUARDABARRO TRASERO S-MUD SLIM POLISPORT,Accesorios,Otras,5.93,0,10.00391,7.50145,7/20/2022
665,33000067,NEUMATICO 700X19/23/25C V/FRANCESA 39MM,Repuestos,Chaoyang,3.635999227,0,6,7,7/20/2022
666,291603200,CICLOCOMPUTADOR MICRO INALAMBRICO MC-200W BK,Accesorios,CATEYE,37.77,0,60.008976,47.998116,7/20/2022
667,291603200,CICLOCOMPUTADOR MICRO INAL MC-200W BK,Accesorios,CATEYE,37.80000141,0,60,50,7/20/2022
668,291603300,CICLOCOMPUTADOR CATEYE VELO 9 CC VL820BK,Accesorios,CATEYE,18.17333459,0,27,22,7/20/2022
669,291604000,CICLOCOMPUTADOR CATEYE PANDRONE PA 100W BLACK ,Accesorios,CATEYE,40.15,0,60.004175,47.999325,7/20/2022
670,291604300,CICLOCOMPUTADOR CATEYE VELO WIRELESS +,Accesorios,CATEYE,38.31999968,0,55,47,7/20/2022
671,291604350,CICLOCOMPUTADOR VELO INA CATEYE,Accesorios,CATEYE,26.26,1,45.00964,35.00458,7/20/2022
672,291604600,CICLOC CATEYE PADRONE PLUS (LUZ) PA110W,Accesorios,CATEYE,50.17333264,0,75,63,7/20/2022
673,480000281,CARAMAÑOLA LIV DOUBLESPRING 750C GRI/ROS,Accesorios,Otras,8.932432432,0,12.00072297,10.2722973,7/20/2022
674,480000283,CARAMAÑOLA LI DOUBLESPRING 750C TRA/ROJ,Accesorios,Otras,8.218918081,1,12.00783932,9.5,7/20/2022
675,480000363,CARAMAÑOLA LIV DOBLESPRING 750C TRA/ROS,Accesorios,Otras,8.218918081,0,12.00783932,9.451755793,7/20/2022
676,10027000033,CASCO HB3-2 STL VISERA/LUZ NEGRO MATE,Accesorios,STL,26.19444533,1,45.00205708,40.01201525,7/20/2022
677,10027000033,CASCO HB3-2 STL VISERA/LUZ ,Accesorios,STL,26.22,6,45.00663,35.0037,7/20/2022
678,10027000053,CASCO HB32 STL VISERAQ,Accesorios,STL,26.08,0,45.00597,35.00319429,7/20/2022
679,10027000054,CASCO HB3-2 STL VISERAVLUZ NEGRO MATE,Accesorios,STL,26.22,0,45.00663,35.0037,7/20/2022
680,10034000040,RIN 29 BLACK JACK READY 23 28H NEGRO,Repuestos,BLACK JACK,24.60000099,0,37,37,7/20/2022
681, 2017-12C ,Pedales 2017-12C (Naranja),Repuestos,AC,20,0,26,25,7/20/2022
682, BR603-1,Porta equipaje p/bicicleta BR603-1,Accesorios,AC,20,1,28,25,7/20/2022
683, LF080,Rodilleras LF080,Accesorios,AC,17,1,22.0065,20.0005,7/20/2022
684, S099GR,Guantes p/ciclismo S099GR,Accesorios,AC,7,0,10.003,7.9975,7/20/2022
685, TM-1701P,Bomba de aire p/bicicleta TM-1701P,Accesorios,AC,4.5,0,7.002,4.995,7/20/2022
686, XT9002,Mangas deportivas XT9002,Accesorios,AC,2.5,2,5,3.5,7/20/2022
687,00T160,Microherramienta plegable T160 (BKS),Accesorios,BKS,7,0,9.009,8.001,7/20/2022
688,05LUC3322,LUZ DELANTERA USB 700LM MOD WL-3322 KUL,Accesorios,Otras,20.59,5,30.009925,24.5021,7/20/2022
689,0XC147,Luz delantera blanca  GW,Accesorios,GW,6.12,0,10.0062,10.0062,7/20/2022
690,0XC235,Luz delantera/trasera de 30 lumens GW,Accesorios,GW,11,0,13.002,13.002,7/20/2022
691,11G285,UNICO C ITALIA CAMISA MC,Ropa,Suarez,26.64,0,40.002624,35.00496,7/20/2022
692,1601C,PROTEIN BAR CAJA*18UND,Nutricion,Otras,4.337839216,0,5.500380126,5.500380126,7/20/2022
693,2038037-AMN,"ASIENTO (AVIATOR) MTB ACOLCHADO NEGRO AMARILLO PROSTATICO
INCLUYE CREMAYERA",Accesorios,Otras,6.4032,0,10.0017984,8.004,7/20/2022
694,2038037-RJN,"ASIENTO (AVIATOR) MTB ACOLCHADO NEGRO ROJO PROSTATICO
INCLUYE CREMAYERA",Accesorios,Otras,6.4032,0,10.0017984,8.004,7/20/2022
695,2150920-SC,"INFLADOR (ZEFAL) KIT CARTUCHO EZ CONTROL + CO2 HOLDER + 2 CO2 16gr
CON ROSCA + PARA INFLADO CON EMPAQUE",Accesorios,ZEFAL,21.4484,1,30.0063116,26.006185,7/20/2022
696,2210170-NG,"CAMARA DE AIRE (TRIPA) 29""x 1.90-2.35"" VALVULA 48mm AMERICANA EN
CAJITA CHENG SHIN TIRE (CST)",Repuestos,CST,4.8024,11,7.0018992,6.003,7/20/2022
697,2210172-NG,"CAMARA DE AIRE(TRIPA)29""*1,90-2,35"" VALVULA 48MM FRENCH EN CAJITA CHENG SHIN TIRE (CST)",Repuestos,CST,5.14,8,7,6,7/20/2022
698,2210175-NG,"CAMARA DE AIRE (TRIPA) 29""x 1.90-2.35"" ANTI PINCHAZO VALVULA 48mm AMERICANA EN CAJITA CHENG SHIN TIRE (CST)",Repuestos,CST,7.1804,8,10.0094776,9.0006314,7/20/2022
699,2252218-NG,"CAUCHO 700 x 23C CZAR 27 TPI ALAMBRE 120PSI DUAL COMPOUND NEGRO
+ GRIS CHENG SHIN TIRE (CST)",Repuestos,CST,14.8712,0,20.001764,18.0090232,7/20/2022
700,2252228-NG,"CAUCHO 700 x 25C CZAR 27 TPI ALAMBRE 120PSI DUAL COMPOUND NEGRO
+ GRIS CHENG SHIN TIRE (CST)",Repuestos,CST,17.342,4,24.001328,21.001162,7/20/2022
701,2252255-NG,"CAUCHO 29""x 2.20""CONQUEROR 60 TPI FOLDABLE EPS/TPR TUBELESS READY
65 PSI DUAL COMPOUND SKINWALL CHENG SHIN TIRE",Repuestos,CST,36.366,2,50.00325,45.002925,7/20/2022
702,2460037-SC,"AEROSOL (ZEFAL) BIKE IN ALL 150ML DESENGRASA, PENETRA, LIMPIA Y
LUBRICA 100% BIODEGRADABLE",Accesorios,ZEFAL,7.308,2,10.004652,9.003456,7/20/2022
703,2460110-SC,"AEROSOL (ZEFAL) DISK BRAKE CLEANER 400ML IDEAL PARA LIMPIEZA
DE FRENOS DE DISCO, MEJORA EL FRENADO Y ELIMINA RUIDO",Accesorios,ZEFAL,9.2684,0,13.0035652,11.5020844,7/20/2022
704,2460114-SC,"LUBRICANTE (ZEFAL) EXTRA DRY WAX 120ML TIPO GOTERO BIODEGRADABLE
 PARA TODO TIPO DE CLIMA CHAIN WX",Accesorios,ZEFAL,8.4912,1,13.0085184,11.0045952,7/20/2022
705,2544008-SC,"AEROSOL (ZEFAL) REPAIR SPRAY 2 EN 1 REPARA Y RE-INFLA 150ml SIN
DESMONTAR EL NEUMATICO INCLUYE DISPENSADOR DE FACIL USO",Accesorios,ZEFAL,7.5516,1,11.0026812,9.06192,7/20/2022
706,2544011-SC,"AEROSOL (ZEFAL) REPAIR SPRAY 2 EN 1 REPARA Y RE-INFLA 100ml SIN
DESMONTAR EL NEUMATICO INCLUYE DISPENSADOR DE FACIL USO",Accesorios,ZEFAL,5.6724,1,8.0094288,7.005414,7/20/2022
707,2544015-SC,"KIT CONVERTIDOR (ZEFAL) TUBELESS KIT 30mm KIT COMPLETO INCLUYE
CINTAS, VALVULAS, LIQUIDO Y HERRAMIENTA BLISTER",Accesorios,ZEFAL,42.5488,1,60.00231776,53.00304016,7/20/2022
708,261050-SC,"SOPORTE PARA EXHIBICION DE BICICLETA 26-29""",Accesorios,Otras,15,0,20.0025,18,7/20/2022
709,3103R20N,RUEDA AUX. NO. 20 NEGRA,Accesorios,Otras,6.76,1,10.0048,8.00384,7/20/2022
710,32KITVALV,KIT VALVULA PRESTA PARA TUBELES 44MM,Repuestos,Otras,23.99,1,35.00141,29.00391,7/20/2022
711,32VALTIT2,VALVULA REPUESTO P/BOMBA DE PIE FP-T1 Y,Repuestos,Otras,8.702703946,2,14.00265065,10.5,7/20/2022
712,33CIN1001,CINTA SELLANTE P/TUBELESS-GORILLA,Repuestos,Otras,11.88,6,18.00414,14.004144,7/20/2022
713,36GAL0165,GALAPAGO MTB ANTIPROSTAT,Accesorios,Otras,12.7972973,0,20.00217568,14.99843243,7/20/2022
714,3890-48,Grasa liquida HHS2000 65,Otros,Otras,11.48,0,18.00711111,13.99915079,7/20/2022
715,96152DC,GEL MANGO CAFEINA * 24 UND,Nutricion,Otras,1.945947081,0,2.004325494,2.004325494,7/20/2022
716,A-00208,NRG SPRAY LIMPIACUADRO,Accesorios,Otras,7.69,0,12.00409,10.00469,7/20/2022
717,A-01093,NRG SPRAY ABRILLANTADOR,Accesorios,Otras,6.59,0,10.00362,9.00194,7/20/2022
718,A-02198,NRG HIGIENIZANTE CASCO,Accesorios,Otras,4.99,2,4.99,6.50197,7/20/2022
719,A320,Bomba de aire p/bicicleta A320,Accesorios,AC,5,0,8,6,7/20/2022
720,ACEITE60,ACEITE LUBRICANTE P/CADENA X 30 GR,Repuestos,Otras,2.216215378,2,4.5,3.5,7/20/2022
721,ACG003,Lentes ACG003,Accesorios,AC,20,0,28,25,7/20/2022
722,ACG005,Lentes ACG005,Accesorios,AC,20,0,27,25,7/20/2022
723,ACH017,Cascos ACH017,Accesorios,AC,25,2,32,30,7/20/2022
724,ACH032,Cascos ACH032 Kids,Accesorios,AC,15,3,20.0025,18,7/20/2022
725,ACH061,Cascos ACH061,Accesorios,AC,22,3,30.008,25.003,7/20/2022
726,ADA129,GUSANILLO AUTOMATICO EXITO,Accesorios,Otras,1.108106676,0,1.108106676,1.108106676,7/20/2022
727,B0M1001,BOMBA PLASTICA 380MM ZEFAL,Accesorios,ZEFAL,4.513513514,2,10.00014054,6.002972973,7/20/2022
728,BAN0324,PASTILLAS FRENO DISCO SF-DB21 SHUNFENG,Repuestos,Otras,2.297297378,4,4,2.9999947,7/20/2022
729,BOM0334,BOMBA (BETO) PIE CMP -125 PLASTICA 580MM,Accesorios,BETO,8.24,1,15.00504,10.00336,7/20/2022
730,BOM0335,BOMBA BETO PIE ACERO C/RELOJ 630MM CMP-151,Accesorios,BETO,16.41333411,2,25,25,7/20/2022
731,BOM0340,BOMBA PIE CMP-069 ALUM C/RELOJ BETO,Accesorios,BETO,18.72,0,30.00816,23.995296,7/20/2022
732,BOM0347,BOMBA CMP-004 200MM PLASTICA NEGRA BETO,Accesorios,BETO,3.85,0,10.00615,5.00115,7/20/2022
733,CAB060,CABLE DE CAMBIO 200 CM EXITO,Repuestos,Otras,0.62013192,0,1,1,7/20/2022
734,CADO321,CADENILLA KMC 10SL VEL G,Repuestos,Otras,47.14,1,65.00606,58.001056,7/20/2022
735,CADO325,CADENILLA KMC 10 VEL 1/2,Repuestos,Otras,23.95,0,36.00272973,28.99854054,7/20/2022
736,CADO369,CADENILLA KMC 11 VEL 1/2,Repuestos,Otras,28,0,38.0016,34.0032,7/20/2022
737,CADO371,CADENILLA KMC 11SL VEL 1,Repuestos,Otras,60.76,1,83.00588108,76.00062703,7/20/2022
738,CADO376,CADENILLA KMC 12 VEL GOLD,Repuestos,Otras,60.76,0,83.00588108,74.00172973,7/20/2022
739,CAMIMLEXPD,CAMISA EXPEDITION,Ropa,Otras,21.41891911,1,35.00922328,32.01057461,7/20/2022
740,CAR1001,CARAMANOLA ZEFAL TERMICA 750CC,Accesorios,ZEFAL,9.41,0,18.00133,11.99775,7/20/2022
741,CD0240,MEDIAS EXPEDITION REFLECTIVAS,Ropa,XPEDITION,7,0,11.004,8.498,7/20/2022
742,CD0241,REDUCTOR,Accesorios,Otras,7,0,11.004,8.498,7/20/2022
743,CG-32,PORTACARAMANOLA FLY CAGE POLY,Accesorios,Otras,15.46,0,20.00524,18.49789,7/20/2022
744,CIN1402,CINTA MANUBRIO VENZO,Repuestos,VENZO,7.783783784,0,15.00324324,10.00216216,7/20/2022
745,DECA101TG,TI-GOLD 10S,Repuestos,Otras,31.5,1,44.0055,40.005,7/20/2022
746,DECA-101SB,SILVER-BLACK 10S,Repuestos,Otras,17.9,0,25.0063,23.0015,7/20/2022
747,ECSHG2007228T,"CASSETTE SHIMANO CS-HG200-7 NEGRO 7
VELOCIDADES 12-14-16-18-21-24-28T EMPAQUE
INDIVIDUAL.",Repuestos,Shimano,15.2656,2,21.00241248,19.005672,7/20/2022
748,ECSHG2007232T,"CASSETTE SHIMANO CS-HG200-7 NEGRO 7
VELOCIDADES 12-14-16-18-21-26-32T EMPAQUE
INDIVIDUAL.",Repuestos,Shimano,16.0312,4,22.00121888,20.0069376,7/20/2022
749,ECSHG2008232T,"CASSETTE SHIMANO CS-HG200-8 CROMADO 8
VELOCIDADES 12-14-16-18-21-24-28-32T EMPAQUE
INDIVIDUAL.",Repuestos,Shimano,17.8756,4,25.00081416,22.0048636,7/20/2022
750,EFDTY300DSDL6,"CAMBIO DELANTERO SHIMANO FD-TY300 TOURNEY
SIS TIRON INFERIOR 34.9 mm MAX.42T EMPAQUE
INDIVIDUAL.",Repuestos,Shimano,8.5028,5,12.00000164,11.0026232,7/20/2022
751,EFDTY300DSTIV5,"CAMBIO DELANTERO SHIMANO FD-TY300 TOURNEY
SIS TIRON SUPERIOR 31.8mm MAX. 42T EMPAQUE
INDIVIDUAL.",Repuestos,Shimano,8.5028,3,12.00000164,11.0026232,7/20/2022
752,EFDTY300DSTL6,"CAMBIO DELANTERO SHIMANO FD-TY300 TOURNEY
SIS TIRON SUPERIOR 34.9 mm MAX. 42T EMPAQUE
INDIVIDUAL.",Repuestos,Shimano,8.5028,0,12.00000164,11.0026232,7/20/2022
753,EFH5800BYBL,"MAZA SHIMANO HB-5800L 105 32 HUECOS TRASERA
10/11 VELOCIDADES NEGRO ALUMNIO INCLUYE
BLOQUEO EMPAQUE INDIVIDUAL.",Repuestos,Shimano,73.9848,1,100.0052542,90.0025092,7/20/2022
754,EFHTX506AZB,MAZA TRASERA SHIMANO FH-TX506 8/9/10 VELOCIDADES NEGRO 36 HUECOS PARA FRENOS DE DISCO 6 HUECOS,Repuestos,Shimano,27.3064,1,37,33,7/20/2022
755,EFHTX506BZB,MAZA TRASERA SHIMANO FH-TX506 8/9/10 VELOCIDADES NEGRO 32 HUECOS PARA FRENOS DE DISCO 6 HUECOS,Repuestos,Shimano,27.3064,1,37,33,7/20/2022
756,EHB5800BL,"MAZA SHIMANO HB-5800L 105 32 HUECOS
DELANTERA NEGRO ALUMNIO INCLUYE BLOQUEO
EMPAQUE INDIVIDUAL.",Repuestos,Shimano,33.7096,2,46.00012016,43.00333672,7/20/2022
757,EHBTX505A5,"MAZA DELANTERA SHIMANO HB-TX505 NEGRO 36
HUECOS CENTER LOCK SYSTEM EMPAQUE
INDIVIDUAL.",Repuestos,Shimano,14.5232,2,20.00135104,18.008768,7/20/2022
758,EHBTX506AAL,MAZA DELANTERA SHIMANO HB-TX506 NEGRO 36 HUECOS PARA FRENOS DE DISCO 6 HUECOS,Repuestos,Shimano,18.9428,1,26,23,7/20/2022
759,EHBTX506BAL,MAZA DELANTERA SHIMANO HB-TX506 NEGRO 32 HUECIS PARA FRENOS DE DISCO 6 HUECOS,Repuestos,Shimano,18.9428,1,26,23,7/20/2022
760,ESMRT30M,"DISCO DE FRENO SHIMANO SMRT30 180mm
CENTER LOCK EN EMPAQUE INDIVIDUAL.",Repuestos,Shimano,13.6532,0,19.00115844,17.0050606,7/20/2022
761,EXPGUANTE,GUANTE XPEDITION REFLECTIVO,Ropa,Otras,13.44594484,0,18.00008635,15.5031744,7/20/2022
762,FDA09,GOMAS DISCO STL FDA09 REDONDA P/LARGO,Repuestos,Otras,5.310810811,0,8.008702703,6.500432432,7/20/2022
763,FHS14SG05,STRYGE CODO -5 35 55MM NEGRO /,Accesorios,Otras,25.74324403,0,35.00051458,30.00375091,7/20/2022
764,GAF1440,GAFAS VENZO VZ-F27-014 F,Accesorios,VENZO,28.62162162,0,45.0075,36.99917027,7/20/2022
765,GAF1440,GAFAS VENZO VZ-F27-014 FOTOCROMATIC,Accesorios,VENZO,31.7999992,0,45,40,7/20/2022
766,GJ9809,Kit de herramientas GJ9809,Accesorios,AC,8,0,12,10,7/20/2022
767,GORRA002,GORRA CASUAL KOM,Ropa,Otras,7.905404541,1,10.00033674,10.00033674,7/20/2022
768,GRAS1013,DESENGRASANTE ZEFAL DEGREASER BIO-BIKE,Ropa,ZEFAL,13.18,2,20.00724,15.5,7/20/2022
769,GRASA65,GRASA CAMPAGNOLO X 65 GR,Repuestos,Otras,3.216215378,0,4.5,4,7/20/2022
770,GRS1011,DESENGRASANTE ZEFAL BIO-BIKE-WASH CON ,Otros,ZEFAL,7.94,2,15.0066,10.0044,7/20/2022
771,GUANTE001,GUANTE DEDO CORTO,Accesorios,Otras,13.98648786,3,20,18,7/20/2022
