Id,Código,Nombre,Categoria,Marca,Costo Base,Existencia actual,PRECIO DE VENTA DETAL,PRECIO DE Venta Mayor,fecha
409,502616,Pastillas de Resina BR-M985 SHIMANO,Repuestos,Shimano,9.95,10,15.0245,11.9997,7/20/2022
410,502636,ROTOR F/DISCO SM-RT66 160MM 6 BOLT SHIMA,Repuestos,Shimano,19.2027017,0,28.00714043,24.00337713,7/20/2022
411,502644,ROTOR DISC BRAKE SM-RT56 DISCO 180MM,Repuestos,Shimano,14.45,0,21.003075,18.0047,7/20/2022
412,502645,ROTOR DISC BRAKE  CENTER LOCK SM-RT30 DISCO 180MM,Repuestos,Shimano,10.92,2,17.00075676,13.99805405,7/20/2022
413,502674,PASTAS FRENO DISCO YK-2+ZDC,Repuestos,Otras,3,6,4.007998411,3.500998612,7/20/2022
414,502675,GOMAS DISCO P/FRENO GW ,Repuestos,Shimano,4.635135135,3,7.003689189,5.501905405,7/20/2022
415,502719,KIT DE PINES FRENO DISCO GW HBP-07 2.3M,Repuestos,GW,1.416665278,0,2.004581368,1.500248529,7/20/2022
416,502721,KIT DE OLIVAS FRENO DISCO GW HBP-09 5MM,Repuestos,GW,1.333332222,0,2.006664994,1.500665416,7/20/2022
417,502741,ROTOR DISC BRAKE CENTER LOCK SM-RT10 160MM DISCO,Repuestos,Shimano,8.03,20,12.00485,9.5,7/20/2022
418,502757,ROTOR DISC BRAKE TORNILLO PARA JAK-8 F/R 160MM ,Repuestos,Otras,3.98,0,7.001945946,4.996843243,7/20/2022
419,502758,PASTILLA FRENO DE DISCO JAK - 8,Repuestos,Otras,3.121620027,7,5.000835283,4.005038495,7/20/2022
420,502787,GOMAS DISCO TITAN/ATLAS 502787,Repuestos,Otras,4.635135135,27,7.003689189,5.495416216,7/20/2022
421,502788,GOMAS DISCO ZEBRA/ESCORPION 502788,Repuestos,Otras,4.635135135,5,7.003689189,5.495416216,7/20/2022
422,503423,MORDAZAS BR-M375-L SHIMANO,Repuestos,Shimano,33.62,0,55.00497297,39.99628108,7/20/2022
